zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
29142,8b,15 to 20,8b: 15 to 20,Mar 30,Nov 6,220 days
29143,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 5,217 days
29145,8a,10 to 15,8a: 10 to 15,Apr 5,Nov 1,209 days
29146,8b,15 to 20,8b: 15 to 20,Mar 28,Nov 6,222 days
29147,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 9,222 days
29148,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 5,217 days
29150,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 2,215 days
29151,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 2,215 days
29152,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29153,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 2,215 days
29154,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 2,215 days
29160,8b,15 to 20,8b: 15 to 20,Apr 2,Nov 1,212 days
29161,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 8,226 days
29162,8b,15 to 20,8b: 15 to 20,Apr 3,Nov 2,212 days
29163,8b,15 to 20,8b: 15 to 20,Mar 30,Nov 6,220 days
29164,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 3,215 days
29166,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
29168,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29169,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29170,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29171,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29172,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29175,8a,10 to 15,8a: 10 to 15,Mar 30,Nov 8,222 days
29177,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29178,8a,10 to 15,8a: 10 to 15,Apr 13,Oct 25,194 days
