zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
28580,8a,10 to 15,8a: 10 to 15,Apr 1,Nov 6,218 days
28581,8b,15 to 20,8b: 15 to 20,Mar 19,Nov 22,247 days
28582,8b,15 to 20,8b: 15 to 20,Apr 14,Oct 25,193 days
28583,8b,15 to 20,8b: 15 to 20,Apr 5,Nov 2,210 days
28584,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 9,222 days
28585,8a,10 to 15,8a: 10 to 15,Apr 10,Nov 1,204 days
28586,8b,15 to 20,8b: 15 to 20,Mar 27,Nov 14,231 days
28587,8b,15 to 20,8b: 15 to 20,Apr 5,Nov 2,210 days
28589,8b,15 to 20,8b: 15 to 20,Mar 17,Nov 21,248 days
28590,8a,10 to 15,8a: 10 to 15,Apr 2,Nov 3,214 days
28594,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 9,222 days
28601,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
28602,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
28603,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
28604,6b,-5 to 0,6b: -5 to 0,May 7,Oct 9,154 days
28605,6b,-5 to 0,6b: -5 to 0,May 3,Oct 14,163 days
28606,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 24,190 days
28607,7a,0 to 5,7a: 0 to 5,May 10,Oct 8,150 days
28609,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28610,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28611,7b,5 to 10,7b: 5 to 10,May 3,Oct 14,163 days
28612,8a,10 to 15,8a: 10 to 15,Apr 15,Oct 22,189 days
28613,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28615,7a,0 to 5,7a: 0 to 5,May 4,Oct 9,157 days
28616,7a,0 to 5,7a: 0 to 5,May 11,Oct 6,147 days
28617,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28618,7b,5 to 10,7b: 5 to 10,May 10,Oct 8,150 days
28619,7b,5 to 10,7b: 5 to 10,Apr 15,Oct 22,189 days
28621,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28622,6b,-5 to 0,6b: -5 to 0,May 12,Oct 8,148 days
28623,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 16,168 days
28624,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 27,196 days
28625,7b,5 to 10,7b: 5 to 10,Apr 21,Oct 21,182 days
28626,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28627,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 16,168 days
28628,7b,5 to 10,7b: 5 to 10,Apr 15,Oct 22,189 days
28629,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28630,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
28631,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28634,7b,5 to 10,7b: 5 to 10,Apr 21,Oct 21,182 days
28635,7b,5 to 10,7b: 5 to 10,Apr 30,Oct 16,168 days
28636,8a,10 to 15,8a: 10 to 15,Apr 9,Oct 30,203 days
28637,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
28638,8a,10 to 15,8a: 10 to 15,Apr 15,Oct 26,193 days
28640,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28641,6b,-5 to 0,6b: -5 to 0,Apr 15,Oct 22,189 days
28642,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28643,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28644,7a,0 to 5,7a: 0 to 5,May 11,Oct 4,145 days
28645,7b,5 to 10,7b: 5 to 10,Apr 15,Oct 26,193 days
28646,6b,-5 to 0,6b: -5 to 0,May 11,Oct 6,147 days
28647,7a,0 to 5,7a: 0 to 5,May 2,Oct 14,164 days
28649,7b,5 to 10,7b: 5 to 10,May 11,Oct 4,145 days
28650,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28651,7b,5 to 10,7b: 5 to 10,May 11,Oct 4,145 days
28652,6b,-5 to 0,6b: -5 to 0,May 7,Oct 7,152 days
28653,6b,-5 to 0,6b: -5 to 0,May 11,Oct 6,147 days
28654,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 27,196 days
28655,7b,5 to 10,7b: 5 to 10,Apr 15,Oct 22,189 days
28656,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 24,190 days
28657,6b,-5 to 0,6b: -5 to 0,May 2,Oct 14,164 days
28658,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28659,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 24,190 days
28660,7b,5 to 10,7b: 5 to 10,Apr 21,Oct 21,182 days
28661,7b,5 to 10,7b: 5 to 10,Apr 15,Oct 26,193 days
28662,6b,-5 to 0,6b: -5 to 0,May 11,Oct 6,147 days
28663,7a,0 to 5,7a: 0 to 5,Apr 22,Oct 22,182 days
28664,7a,0 to 5,7a: 0 to 5,May 2,Oct 14,164 days
28665,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 27,196 days
28666,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28667,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
28668,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 16,168 days
28669,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28670,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28671,8a,10 to 15,8a: 10 to 15,Apr 5,Oct 30,207 days
28672,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28673,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28675,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 16,168 days
28676,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28677,8a,10 to 15,8a: 10 to 15,Apr 21,Oct 21,182 days
28678,8a,10 to 15,8a: 10 to 15,Apr 9,Oct 30,203 days
28679,7a,0 to 5,7a: 0 to 5,Apr 25,Oct 19,176 days
28680,7b,5 to 10,7b: 5 to 10,Apr 15,Oct 22,189 days
28681,8a,10 to 15,8a: 10 to 15,Apr 9,Oct 30,203 days
28682,8a,10 to 15,8a: 10 to 15,Mar 31,Nov 3,216 days
28683,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28684,7a,0 to 5,7a: 0 to 5,May 10,Oct 8,150 days
28685,7b,5 to 10,7b: 5 to 10,Apr 30,Oct 16,168 days
28687,7b,5 to 10,7b: 5 to 10,Apr 21,Oct 21,182 days
28688,7b,5 to 10,7b: 5 to 10,Apr 21,Oct 21,182 days
28689,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28690,7b,5 to 10,7b: 5 to 10,Apr 15,Oct 22,189 days
28691,7a,0 to 5,7a: 0 to 5,May 12,Oct 8,148 days
28692,7a,0 to 5,7a: 0 to 5,May 12,Oct 8,148 days
28693,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28694,7a,0 to 5,7a: 0 to 5,May 14,Oct 3,141 days
28697,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 24,190 days
28698,7a,0 to 5,7a: 0 to 5,May 10,Oct 8,150 days
28699,8a,10 to 15,8a: 10 to 15,Apr 21,Oct 21,182 days
28701,7b,5 to 10,7b: 5 to 10,May 4,Oct 13,161 days
28702,7a,0 to 5,7a: 0 to 5,Apr 20,Oct 20,182 days
28704,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 22,187 days
28705,7a,0 to 5,7a: 0 to 5,May 2,Oct 14,164 days
28707,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28708,7a,0 to 5,7a: 0 to 5,Apr 22,Oct 21,181 days
